phi1   phi2  phi  COD
85.0  40.0  10.0     64 
90.0  40.0  10.0     61 
 0.0  45.0  10.0     95 
 5.0  45.0  10.0     96 
10.0  45.0  10.0     91 
15.0  45.0  10.0     85 
20.0  45.0  10.0     84 
25.0  45.0  10.0     83 
30.0  45.0  10.0     86 
35.0  45.0  10.0     86 
40.0  45.0  10.0     83 
45.0  45.0  10.0     86 
50.0  45.0  10.0     87 
55.0  45.0  10.0     87 
60.0  45.0  10.0     88 
65.0  45.0  10.0     90 
70.0  45.0  10.0     90 
75.0  45.0  10.0     92 
80.0  45.0  10.0     93 
85.0  45.0  10.0     92 
90.0  45.0  10.0     92 
 0.0  50.0  10.0     61 
 5.0  50.0  10.0     58 
10.0  50.0  10.0     57 
15.0  50.0  10.0     56 
20.0  50.0  10.0     57 
25.0  50.0  10.0     60 
30.0  50.0  10.0     58 
35.0  50.0  10.0     57 
40.0  50.0  10.0     58 
45.0  50.0  10.0     58 
